class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,label,split
ListBoxDemo,0,0.3333333333333333,33,8.666666666666666,1.0,0,0,0,Clean,train
Grid,0,0.6428571428571429,55,4.875,2.25,0,0,0,Clean,test
Canvas,0,0.6,53,7.0,1.1666666666666667,0,1,2,Clean,train
CanvasImage,0,1.0,8,2.5,1.5,0,2,3,Clean,train
ImageLoadListener,0,0.26666666666666666,29,3.0,1.8333333333333333,0,2,1,Clean,train
Color,0,0.0,32,3.5,3.0,0,0,0,Clean,train
DialogBox,0,0.7904761904761904,130,4.0,1.380952380952381,0,0,0,Clean,train
PushButton,0,1.0,30,3.0,1.25,0,0,0,Clean,test
MultiListener,0,1.0,38,4.666666666666667,2.3333333333333335,0,0,0,Clean,test
Timer,0,0.8333333333333334,26,4.5,1.0,0,0,0,Clean,train
LayoutExample,0,0.8333333333333334,52,11.25,1.0,0,0,0,Clean,train
DAG,0,0.7486631016042781,507,11.529411764705882,3.235294117647059,0,0,0,God Class,train
IDAWrapper,0,0.0,34,33.0,8.0,0,0,0,Clean,train
Git,0,0.8,63,7.0,1.5,0,0,0,Clean,train
ExportResponse,0,0.6666666666666666,14,2.0,1.3333333333333333,0,0,0,Clean,train
ExportQuery,0,0.0,34,12.0,1.5,0,0,0,Clean,train
Project,0,0.0,5,1.0,1.0,0,0,0,Clean,train
ProjectURL,0,1.0,9,1.0,1.0,0,0,0,Clean,train
WidgetMeta,0,0.0,31,17.0,7.0,0,5,6,Clean,train
WidgetError,0,0.0,1,0.0,0.0,0,1,0,Clean,train
Widget,1,1.0,393,12.555555555555555,1.7777777777777777,0,5,5,Feature Envy,test
FlowWidget,0,1.0,23,4.0,1.0,1,2,0,Clean,train
BoxWidget,0,0.0,19,4.0,1.0,1,1,0,Clean,train
FixedWidget,0,1.0,23,4.0,1.0,1,2,0,Clean,train
Divider,0,0.1,69,10.6,1.8,1,6,13,Clean,train
SolidFill,0,0.0,31,6.666666666666667,1.0,2,5,10,Clean,train
TextError,0,0.0,1,0.0,0.0,0,1,0,Clean,train
Text,1,0.7619047619047619,297,16.466666666666665,1.8,1,7,20,God Class,train
EditError,0,0.0,1,0.0,0.0,1,1,0,Clean,train
Edit,1,0.78,574,20.04,2.84,2,6,26,God Class,train
IntEdit,0,0.8333333333333334,58,12.25,2.5,3,5,9,Clean,test
WidgetWrapError,0,0.0,1,0.0,0.0,0,1,0,Clean,test
WidgetWrap,1,0.6666666666666666,44,12.333333333333334,1.0,1,6,3,Clean,train
GoGridResponse,0,0.6666666666666666,25,6.333333333333333,2.6666666666666665,0,0,1,Clean,train
GoGridConnection,0,1.0,24,4.0,1.0,0,1,0,Clean,train
GoGridIpAddress,0,0.0,10,5.0,1.0,0,2,0,Clean,train
BaseGoGridDriver,1,0.9523809523809523,80,8.714285714285714,2.0,0,0,2,Clean,train
GridspotAPIException,0,0.0,5,1.0,1.0,0,1,0,Clean,test
GridspotResponse,1,1.0,14,4.0,2.0,0,0,1,Clean,test
GridspotConnection,0,0.0,10,2.0,1.0,0,0,0,Clean,test
GridspotNodeDriver,0,0.7,66,8.8,1.6,0,0,0,Clean,train
DurableDNSResponse,0,0.0,1,0.0,0.0,0,0,0,Clean,train
DurableDNSConnection,0,0.0,1,0.0,0.0,0,0,0,Clean,train
DurableDNSDriver,0,0.5054945054945055,596,39.357142857142854,5.285714285714286,0,0,0,Long Method,train
cc_taskgen,0,0.0,1,0.0,0.0,0,0,0,Clean,train
BaseClient,0,0.6691176470588235,490,26.529411764705884,6.764705882352941,0,0,0,God Class,train
Client,0,0.0,1,0.0,0.0,1,0,0,Clean,test
DownCommand,0,0.6666666666666666,104,33.0,7.666666666666667,0,0,0,Long Method,train
Error,0,0.0,1,0.0,0.0,0,0,0,Clean,train
ErrorOnTransform,0,0.0,1,0.0,0.0,1,0,0,Clean,train
InvalidConfiguration,0,0.0,1,0.0,0.0,1,0,0,Clean,train
InvalidCodeInConfiguration,0,0.0,1,0.0,0.0,1,0,0,Clean,train
InvalidExportData,0,0.0,1,0.0,0.0,1,0,0,Clean,train
InvalidImportData,0,0.0,1,0.0,0.0,1,0,0,Clean,train
EvaluatedCallable,0,1.0,81,6.666666666666667,1.3333333333333333,0,0,0,Clean,train
ConnectorSubOptions,0,0.0,6,0.0,0.0,0,0,0,Clean,train
ConnectorOptions,0,0.0,26,6.0,2.0,0,1,3,Clean,train
ExportEntry,0,0.0,6,0.0,0.0,0,0,0,Clean,train
PropertyEntry,0,0.0,26,13.0,4.0,0,1,3,Clean,train
TransformerEntry,0,0.0,56,40.0,11.0,0,2,0,Long Method,test
PythonPreambleEntry,0,0.0,25,15.0,2.0,0,2,0,Clean,train
BulkloaderEntry,0,0.0,7,0.0,0.0,0,0,0,Clean,train
GQL,1,0.9371069182389937,1344,19.537037037037038,3.7037037037037037,0,0,2,God Class,train
Literal,0,0.0,14,1.3333333333333333,1.0,0,1,0,Clean,train
_BackgroundRequest,0,0.0,50,13.0,1.6666666666666667,0,1,0,Clean,test
_BackgroundRequestsContainer,1,0.7,40,5.8,1.2,0,0,3,Clean,train
