class_name,cbo,lcom,class_length,avg_method_length,avg_cyclomatic_complexity,dit,fan_in,fan_out,atfd,fdp,fdp_concentration,label,split
Child,0,0.0,5,0.0,0.0,0,0,0,0,0,0.0,Clean,train
Solution,0,1.0,42,13.0,2.3333333333333335,0,0,0,0,0,0.0,Clean,train
Cell,0,0.0,8,3.0,1.0,0,1,0,1,1,1.0,Clean,train
Solution,1,0.0,49,23.5,5.0,0,0,1,6,2,0.5,Clean,test
CommandLineError,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,test
DefaultsManager,0,0.6,42,6.2,2.4,0,0,0,3,1,1.0,Clean,test
LevelOfMessageException,0,1.0,7,2.0,1.0,0,0,0,0,0,0.0,Clean,train
CustomTransformer,0,0.0,20,8.5,2.0,0,0,0,1,1,1.0,Clean,train
PickleView,0,0.0,12,4.5,2.0,0,0,0,1,1,1.0,Clean,train
TeePickleView,0,0.0,20,8.5,2.0,0,0,0,2,2,0.5,Clean,test
ProgressView,0,0.0,85,41.0,9.5,0,0,0,0,0,0.0,Long Method,test
ClockView,0,0.0,14,5.5,1.5,0,0,0,0,0,0.0,Clean,train
_ArrayLoader,0,0.6666666666666666,51,13.666666666666666,2.3333333333333335,0,1,3,1,1,1.0,Clean,test
_Logger,0,0.0,14,5.5,1.5,0,0,0,1,1,1.0,Clean,train
_VariantsLoader,0,0.0,88,83.0,11.0,1,2,0,4,1,1.0,Long Method,train
_CalldataLoader,0,0.0,84,80.0,12.0,1,2,0,4,1,1.0,Long Method,train
_Calldata2DLoader,0,0.0,7,3.0,1.0,2,1,3,0,0,0.0,Clean,test
GetBsnBySnRequest,0,1.0,10,2.0,1.0,0,0,0,0,0,0.0,Clean,train
CreateIndexRequest,0,1.0,22,2.0,1.0,0,0,0,0,0,0.0,Clean,test
DropIndexesRequest,0,1.0,28,2.0,1.0,0,0,0,0,0,0.0,Clean,train
DescribeInnerOcsInstanceInfoRequest,0,1.0,28,2.0,1.0,0,0,0,0,0,0.0,Clean,train
CreateImgVpcRequest,0,1.0,52,2.0,1.0,0,0,0,0,0,0.0,Clean,test
StartLoadBalancerListenerRequest,0,1.0,40,2.0,1.0,0,0,0,0,0,0.0,Clean,train
ConfirmLoginRequest,0,1.0,22,2.0,1.0,0,0,0,0,0,0.0,Clean,train
Migration,0,0.0,56,0.0,0.0,0,0,0,0,0,0.0,Clean,train
NetworkInlineFormset,0,0.0,4,2.0,1.0,0,0,0,0,0,0.0,Clean,train
DisableMigrations,0,1.0,7,2.0,1.0,0,0,0,0,0,0.0,Clean,train
DiffMeansPermute,0,0.6666666666666666,27,7.333333333333333,1.0,0,0,0,2,2,0.5,Clean,train
DiffMeansOneSided,0,0.0,11,8.0,1.0,1,0,0,2,2,0.5,Clean,train
DiffStdPermute,0,0.0,11,8.0,1.0,1,0,0,2,2,0.5,Clean,train
CorrelationPermute,0,1.0,20,8.0,1.0,0,0,0,0,0,0.0,Clean,train
Message,0,0.6666666666666666,25,6.0,2.0,0,0,0,1,1,1.0,Clean,test
Discovery,0,0.0,35,10.333333333333334,2.3333333333333335,0,0,0,0,0,0.0,Clean,train
Memories,0,0.0,35,3.25,1.0,0,0,0,0,0,0.0,Clean,test
Person,0,0.20105820105820105,123,3.357142857142857,1.0714285714285714,0,0,0,0,0,0.0,Clean,train
_test_structmembersType,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,test
error,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
instancemethod,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,test
Menus,0,1.0,62,14.25,1.0,0,0,0,9,7,0.3333,Clean,test
Tasks,0,0.0,14,12.0,1.0,0,0,0,1,1,1.0,Clean,train
TodoApp,1,0.5238095238095238,62,7.428571428571429,2.142857142857143,0,0,1,7,4,0.5714,Clean,train
DataService,0,0.0,3,2.0,1.0,0,1,0,0,0,0.0,Clean,train
CheckBoxDemo,0,0.0,12,4.5,1.0,0,0,0,1,1,1.0,Clean,train
ListBoxDemo,0,0.3333333333333333,34,9.666666666666666,1.0,0,0,0,3,2,0.6667,Clean,train
Grid,0,0.6428571428571429,56,5.875,2.25,0,0,0,0,0,0.0,Clean,train
Canvas,0,0.6,54,8.0,1.1666666666666667,0,1,2,5,4,0.4,Clean,test
CanvasImage,0,1.0,9,3.5,1.5,0,2,3,0,0,0.0,Clean,train
ImageLoadListener,0,0.26666666666666666,30,4.0,1.8333333333333333,0,2,1,3,2,0.6667,Clean,train
Color,0,0.0,33,4.5,3.0,0,0,0,0,0,0.0,Clean,test
DialogBox,0,0.7904761904761904,131,5.0,1.380952380952381,0,0,0,12,6,0.3333,God Class,train
PushButton,0,1.0,31,4.0,1.25,0,0,0,1,1,1.0,Clean,test
MultiListener,0,1.0,39,5.666666666666667,2.3333333333333335,0,0,0,1,1,1.0,Clean,train
Timer,0,0.8333333333333334,27,5.5,1.0,0,0,0,0,0,0.0,Clean,train
LayoutExample,0,0.8333333333333334,53,12.25,1.0,0,0,0,9,5,0.5556,Clean,train
DAG,0,0.7486631016042781,508,12.529411764705882,3.235294117647059,0,0,0,33,12,0.2727,God Class,train
LessFileStorage,0,0.0,11,5.0,2.0,0,0,0,0,0,0.0,Clean,train
IDAWrapper,0,0.0,35,34.0,8.0,0,0,0,0,0,0.0,Clean,train
Git,0,0.8,64,8.0,1.5,0,0,0,5,3,0.6,Clean,train
ExportResponse,0,0.6666666666666666,15,3.0,1.3333333333333333,0,0,0,0,0,0.0,Clean,train
ExportQuery,0,0.0,35,13.0,1.5,0,0,0,1,1,1.0,Clean,train
Project,0,0.0,6,2.0,1.0,0,0,0,0,0,0.0,Clean,train
ProjectURL,0,1.0,10,2.0,1.0,0,0,0,0,0,0.0,Clean,train
WidgetMeta,0,0.0,32,18.0,7.0,0,5,6,1,1,1.0,Clean,test
WidgetError,0,0.0,2,0.0,0.0,0,1,0,0,0,0.0,Clean,train
Widget,1,1.0,394,13.555555555555555,1.7777777777777777,0,5,5,2,2,0.5,Clean,train
FlowWidget,0,1.0,24,5.0,1.0,1,3,0,0,0,0.0,Clean,test
BoxWidget,0,0.0,20,5.0,1.0,1,2,0,0,0,0.0,Clean,test
FixedWidget,0,1.0,24,5.0,1.0,1,3,0,0,0,0.0,Clean,train
Divider,0,0.1,70,11.6,1.8,1,7,13,1,1,1.0,Clean,train
SolidFill,0,0.0,32,7.666666666666667,1.0,2,6,10,0,0,0.0,Clean,train
TextError,0,0.0,2,0.0,0.0,0,1,0,0,0,0.0,Clean,train
Text,1,0.7619047619047619,298,17.466666666666665,1.8,1,8,20,3,2,0.6667,God Class,test
EditError,0,0.0,2,0.0,0.0,1,1,0,0,0,0.0,Clean,test
Edit,1,0.78,575,21.04,2.84,2,7,27,3,2,0.6667,God Class,train
IntEdit,0,0.8333333333333334,59,13.25,2.5,3,5,9,0,0,0.0,Clean,test
WidgetWrapError,0,0.0,2,0.0,0.0,0,1,0,0,0,0.0,Clean,test
WidgetWrap,1,0.6666666666666666,45,13.333333333333334,1.0,1,6,3,0,0,0.0,Clean,train
DelegateToWidgetMixin,0,0.0,18,3.0,1.0,1,1,7,0,0,0.0,Clean,train
GoGridResponse,0,0.6666666666666666,26,7.333333333333333,2.6666666666666665,0,0,1,0,0,0.0,Clean,train
GoGridConnection,0,1.0,25,5.0,1.0,0,1,0,1,1,1.0,Clean,train
GoGridIpAddress,0,0.0,11,6.0,1.0,0,2,0,0,0,0.0,Clean,train
BaseGoGridDriver,1,0.9523809523809523,81,9.714285714285714,2.0,0,0,2,3,3,0.3333,Clean,test
GridspotAPIException,0,0.0,6,2.0,1.0,0,1,0,0,0,0.0,Clean,test
GridspotResponse,1,1.0,15,5.0,2.0,0,0,1,0,0,0.0,Clean,train
GridspotConnection,0,0.0,11,3.0,1.0,0,0,0,0,0,0.0,Clean,train
GridspotNodeDriver,0,0.7,67,9.8,1.6,0,0,0,2,2,0.5,Clean,train
DurableDNSResponse,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
DurableDNSConnection,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
DurableDNSDriver,0,0.5054945054945055,597,40.357142857142854,5.285714285714286,0,0,0,22,14,0.1364,Long Method,train
cc_taskgen,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
BaseClient,0,0.6691176470588235,491,27.529411764705884,6.764705882352941,0,0,0,39,20,0.1538,God Class,train
Client,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,test
DownCommand,0,0.6666666666666666,105,34.0,7.666666666666667,0,0,0,7,5,0.4286,Long Method,train
Error,0,0.0,2,0.0,0.0,0,0,0,0,0,0.0,Clean,train
ErrorOnTransform,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,test
InvalidConfiguration,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,train
InvalidCodeInConfiguration,0,0.0,2,0.0,0.0,1,0,0,0,0,0.0,Clean,train
